89,4400,65505,17608,15188,65362,19384,13556,369,44714,53218,64578,23668,10054,37318,0,0,0
90,4450,65479,18066,14756,65305,19856,13141,450,44233,53618,64451,24163,9686,24575,0,0,0
91,4500,65445,18528,14328,65240,20330,12731,539,43750,54012,64316,24661,9323,30036,0,0,0
92,4550,65403,18993,13905,65167,20808,12327,636,43264,54402,64173,25161,8967,28216,0,0,0
93,4600,65353,19462,13486,65087,21289,11927,741,42775,54785,64022,25662,8616,30947,0,0,0
94,4650,65294,19934,13073,64998,21772,11532,854,42284,55164,63863,26166,8271,40049,0,0,0
95,4700,65228,20409,12664,64901,22258,11143,975,41790,55537,63697,26671,7932,30036,0,0,0
96,4750,65154,20887,12260,64796,22747,10759,1104,41294,55904,63523,27177,7599,26396,0,0,0
97,4800,65072,21369,11861,64683,23238,10380,1240,40796,56266,63342,27685,7273,33677,0,0,0
98,4850,64982,21853,11467,64563,23732,10007,1384,40296,56622,63153,28194,6953,39139,0,0,0
99,4900,64883,22339,11079,64434,24228,9640,1536,39794,56972,62957,28704,6639,37318,0,0,0
100,4950,64777,22828,10695,64298,24726,9278,1696,39291,57316,62753,29216,6331,30036,0,0,0
101,5000,64663,23320,10318,64154,25226,8922,1863,38785,57653,62542,29728,6031,27306,0,0,0
102,5050,64541,23814,9946,64002,25728,8572,2038,38279,57985,62323,30241,5736,20934,0,0,0
103,5100,64412,24310,9579,63843,26231,8228,2221,37771,58311,62097,30754,5449,27306,0,0,0
104,5150,64274,24809,9218,63676,26736,7890,2411,37261,58630,61864,31268,5168,35043,0,0,0
105,5200,64129,25309,8863,63501,27243,7558,2608,36751,58943,61624,31783,4894,30947,0,0,0
106,5250,63976,25811,8514,63319,27751,7232,2813,36240,59249,61376,32297,4627,20934,0,0,0
107,5300,63815,26315,8171,63129,28260,6913,3026,35727,59549,61122,32812,4366,26396,0,0,0
108,5350,63647,26820,7834,62932,28770,6600,3245,35214,59842,60860,33327,4113,31402,0,0,0
109,5400,63471,27327,7503,62727,29282,6293,3472,34701,60129,60592,33841,3867,31402,0,0,0
110,5450,63287,27835,7179,62515,29794,5993,3707,34187,60409,60317,34355,3628,38456,0,0,0
111,5500,63096,28345,6860,62295,30307,5700,3948,33672,60682,60035,34869,3396,32198,0,0,0
112,5550,62898,28855,6548,62068,30820,5413,4196,33158,60948,59746,35383,3172,30036,0,0,0
113,5600,62692,29367,6243,61834,31335,5133,4452,32643,61207,59450,35896,2954,33905,0,0,0
114,5650,62478,29879,5944,61593,31849,4860,4715,32128,61459,59148,36407,2744,36067,0,0,0
115,5700,62258,30392,5651,61345,32363,4593,4984,31614,61704,58840,36919,2542,33563,0,0,0
116,5750,62030,30906,5366,61090,32878,4334,5260,31099,61942,58525,37429,2347,25485,0,0,0
117,5800,61794,31420,5087,60827,33393,4082,5544,30586,62173,58203,37938,2159,28899,0,0,0
118,5850,61552,31934,4815,60558,33907,3836,5833,30072,62396,57876,38445,1979,30036,0,0,0
119,5900,61302,32449,4550,60282,34422,3598,6130,29560,62612,57542,38951,1807,25940,0,0,0
120,5950,61046,32964,4292,59999,34935,3367,6433,29048,62821,57202,39456,1642,23665,0,0,0
121,6000,60782,33478,4040,59709,35449,3144,6743,28537,63023,56856,39959,1485,29581,0,0,0
122,6050,60512,33993,3796,59413,35961,2927,7058,28027,63216,56504,40460,1336,27761,0,0,0
123,6100,60235,34507,3560,59110,36473,2718,7381,27518,63403,56146,40960,1194,39139,0,0,0
124,6150,59951,35021,3330,58801,36984,2517,7709,27011,63582,55783,41457,1060,36408,0,0,0
125,6200,59660,35534,3107,58485,37494,2323,8044,26505,63753,55414,41952,934,32767,0,0,0
126,6250,59363,36047,2892,58163,38003,2136,8385,26000,63916,55039,42445,816,24575,0,0,0
127,6300,59059,36558,2684,57834,38510,1957,8732,25498,64072,54659,42936,706,28216,0,0,0
128,6350,58748,37069,2484,57500,39016,1786,9085,24997,64221,54273,43424,603,28216,0,0,0
129,6400,58431,37579,2291,57159,39521,1622,9443,24498,64361,53882,43909,509,18204,0,0,0
130,6450,58108,38087,2106,56812,40024,1466,9808,24001,64494,53486,44392,423,29126,0,0,0
131,6500,57779,38595,1928,56460,40525,1317,10178,23506,64618,53085,44872,344,28216,0,0,0
132,6550,57443,39100,1758,56101,41024,1177,10553,23013,64735,52678,45348,274,35498,0,0,0
133,6600,57101,39605,1595,55737,41521,1044,10934,22523,64844,52267,45822,211,40049,0,0,0
134,6650,56754,40107,1441,55367,42016,919,11321,22035,64945,51851,46293,157,33677,0,0,0
135,6700,56400,40608,1294,54992,42508,802,11713,21550,65039,51431,46760,110,26396,0,0,0
136,6750,56041,41107,1154,54611,42998,693,12110,21068,65124,51005,47223,72,20934,0,0,0
137,6800,55675,41603,1023,54224,43486,591,12512,20589,65201,50575,47684,42,31857,0,0,0
138,6850,55305,42098,899,53833,43971,498,12919,20112,65270,50141,48140,20,28216,0,0,0
139,6900,54928,42590,783,53436,44454,412,13331,19639,65332,49703,48593,6,22755,0,0,0
140,6950,54546,43080,675,53034,44933,335,13747,19169,65385,49260,49041,0,24575,0,0,0
141,7000,54159,43567,575,52627,45409,265,14169,18703,65430,48813,49486,2,33677,0,0,0
142,7050,53767,44052,483,52215,45883,204,14595,18239,65467,48363,49927,12,37318,0,0,0
143,7100,53369,44534,399,51798,46353,151,15025,17780,65496,47908,50363,30,30036,0,0,0
144,7150,52966,45013,323,51377,46819,105,15460,17324,65517,47450,50795,56,26396,0,0,0
145,7200,52558,45488,255,50951,47283,68,15899,16872,65530,46988,51223,91,19114,0,0,0
146,7250,52146,45961,195,50521,47742,39,16343,16424,65535,46523,51646,133,17294,0,0,0
147,7300,51728,46431,143,50086,48198,18,16790,15980,65531,46054,52064,184,28216,0,0,0
148,7350,51306,46897,99,49647,48650,5,17241,15540,65520,45582,52478,242,35498,0,0,0
149,7400,50879,47359,63,49204,49099,0,17696,15104,65500,45107,52886,309,22755,0,0,0
150,7450,50448,47819,35,48756,49543,3,18155,14673,65473,44628,53290,383,24575,0,0,0
151,7500,50013,48274,15,48305,49983,14,18618,14246,65437,44147,53689,466,35498,0,0,0
152,7550,49573,48725,3,47850,50419,33,19083,13823,65393,43663,54083,556,35498,0,0,0
153,7600,49129,49173,0,47391,50850,60,19553,13406,65342,43176,54471,655,30036,0,0,0
154,7650,48681,49616,4,46929,51277,96,20025,12993,65282,42687,54854,761,28216,0,0,0
155,7700,48229,50056,16,46463,51699,139,20501,12585,65214,42196,55231,876,28216,0,0,0
156,7750,47774,50491,37,45994,52117,191,20980,12182,65138,41701,55603,998,26396,0,0,0
157,7800,47314,50922,66,45521,52530,250,21461,11784,65055,41205,55969,1128,39139,0,0,0
158,7850,46851,51348,102,45045,52938,318,21946,11391,64963,40707,56330,1266,31857,0,0,0
159,7900,46385,51770,147,44567,53341,393,22433,11004,64863,40206,56685,1411,29126,0,0,0
160,7950,45915,52186,200,44085,53739,477,22922,10622,64755,39704,57034,1565,33677,0,0,0
161,8000,45442,52599,261,43601,54132,569,23415,10245,64640,39200,57377,1726,35498,0,0,0
162,8050,44966,53006,330,43113,54520,668,23909,9874,64516,38695,57713,1894,34587,0,0,0
163,8100,44486,53408,407,42624,54902,775,24406,9509,64385,38188,58044,2071,29126,0,0,0
164,8150,44004,53805,492,42132,55279,891,24904,9149,64246,37679,58368,2255,27306,0,0,0
165,8200,43519,54197,585,41637,55650,1014,25405,8795,64099,37170,58686,2446,24575,0,0,0
166,8250,43032,54584,685,41141,56016,1145,25908,8447,63945,36659,58998,2645,33677,0,0,0
167,8300,42542,54966,794,40642,56376,1284,26412,8105,63783,36148,59303,2851,33677,0,0,0
168,8350,42049,55341,911,40141,56730,1430,26917,7769,63613,35635,59602,3065,25485,0,0,0
169,8400,41555,55712,1035,39639,57078,1585,27425,7440,63435,35122,59894,3286,25485,0,0,0
170,8450,41058,56076,1168,39135,57420,1747,27933,7116,63250,34609,60180,3514,32312,0,0,0
171,8500,40559,56435,1308,38629,57756,1916,28443,6799,63058,34094,60458,3750,33222,0,0,0
172,8550,40058,56788,1455,38122,58086,2093,28954,6488,62858,33580,60730,3992,33677,0,0,0
173,8600,39555,57135,1611,37614,58409,2278,29465,6184,62650,33065,60995,4242,33222,0,0,0
