       102,      5050, 36012, 31390, 30835, 29311, 34558, 35768, 36048, 31155, 31115, 30137, 34438, 39456
       103,      5100, 36038, 31422, 30776, 29311, 34594, 35746, 36080, 31184, 31054, 30139, 34421, 39480
       104,      5150, 36064, 31455, 30717, 29311, 34630, 35723, 36111, 31214, 30993, 30141, 34404, 39503
       105,      5200, 36089, 31496, 30651, 29310, 34667, 35701, 36141, 31248, 30930, 30144, 34386, 39526
       106,      5250, 36112, 31528, 30594, 29310, 34705, 35679, 36170, 31279, 30868, 30146, 34369, 39549
       107,      5300, 36135, 31570, 30529, 29310, 34743, 35657, 36199, 31315, 30805, 30149, 34351, 39570
       108,      5350, 36157, 31611, 30467, 29310, 34782, 35635, 36226, 31351, 30741, 30152, 34333, 39593
       109,      5400, 36178, 31648, 30408, 29309, 34822, 35613, 36253, 31387, 30679, 30154, 34315, 39614
       110,      5450, 36197, 31695, 30341, 29309, 34863, 35591, 36278, 31427, 30614, 30157, 34297, 39634
       111,      5500, 36216, 31736, 30281, 29308, 34903, 35569, 36303, 31465, 30550, 30160, 34279, 39655
       112,      5550, 36233, 31781, 30218, 29307, 34945, 35547, 36326, 31506, 30486, 30164, 34261, 39674
       113,      5600, 36249, 31830, 30152, 29306, 34988, 35526, 36348, 31550, 30420, 30167, 34242, 39694
       114,      5650, 36265, 31873, 30093, 29305, 35031, 35504, 36370, 31591, 30357, 30170, 34224, 39713
       115,      5700, 36278, 31924, 30027, 29304, 35075, 35483, 36390, 31638, 30290, 30174, 34205, 39731
       116,      5750, 36291, 31974, 29964, 29303, 35119, 35462, 36409, 31683, 30226, 30178, 34186, 39748
       117,      5800, 36303, 32021, 29904, 29302, 35164, 35441, 36427, 31730, 30161, 30181, 34167, 39765
       118,      5850, 36313, 32078, 29836, 29301, 35210, 35420, 36444, 31779, 30095, 30185, 34148, 39782
       119,      5900, 36322, 32127, 29778, 29299, 35256, 35399, 36460, 31829, 30030, 30189, 34129, 39798
       120,      5950, 36330, 32183, 29713, 29298, 35303, 35379, 36474, 31879, 29965, 30193, 34110, 39813
       121,      6000, 36337, 32241, 29649, 29296, 35350, 35359, 36487, 31933, 29898, 30197, 34091, 39827
       122,      6050, 36342, 32292, 29590, 29294, 35398, 35339, 36499, 31985, 29835, 30202, 34071, 39841
       123,      6100, 36346, 32355, 29523, 29292, 35447, 35319, 36510, 32041, 29768, 30206, 34052, 39854
       124,      6150, 36349, 32411, 29464, 29290, 35496, 35300, 36520, 32096, 29703, 30211, 34032, 39867
       125,      6200, 36351, 32470, 29402, 29288, 35546, 35280, 36528, 32153, 29638, 30215, 34013, 39878
       126,      6250, 36350, 32534, 29338, 29286, 35596, 35262, 36535, 32212, 29572, 30220, 33993, 39889
       127,      6300, 36349, 32592, 29279, 29284, 35646, 35243, 36541, 32270, 29508, 30225, 33974, 39900
       128,      6350, 36347, 32657, 29217, 29281, 35698, 35225, 36545, 32331, 29443, 30230, 33954, 39909
       129,      6400, 36342, 32722, 29155, 29279, 35749, 35207, 36548, 32393, 29378, 30235, 33935, 39918
       130,      6450, 36337, 32783, 29098, 29276, 35801, 35189, 36549, 32455, 29315, 30240, 33915, 39926
       131,      6500, 36330, 32854, 29034, 29273, 35854, 35172, 36550, 32520, 29250, 30246, 33895, 39933
       132,      6550, 36322, 32918, 28977, 29270, 35907, 35155, 36548, 32584, 29186, 30251, 33876, 39939
       133,      6600, 36312, 32985, 28919, 29267, 35961, 35138, 36546, 32650, 29123, 30257, 33856, 39945
       134,      6650, 36301, 33058, 28856, 29264, 36014, 35122, 36542, 32718, 29059, 30262, 33836, 39949
       135,      6700, 36288, 33122, 28803, 29261, 36069, 35106, 36536, 32784, 28998, 30268, 33817, 39953
       136,      6750, 36274, 33198, 28741, 29258, 36123, 35091, 36529, 32855, 28934, 30274, 33797, 39956
       137,      6800, 36259, 33267, 28687, 29254, 36178, 35076, 36521, 32924, 28874, 30280, 33778, 39958
       138,      6850, 36242, 33338, 28631, 29251, 36234, 35061, 36511, 32996, 28812, 30286, 33758, 39959
       139,      6900, 36223, 33415, 28573, 29247, 36289, 35047, 36500, 33068, 28751, 30292, 33739, 39959
       140,      6950, 36203, 33486, 28521, 29243, 36345, 35034, 36487, 33141, 28691, 30298, 33719, 39959
       141,      7000, 36181, 33562, 28465, 29239, 36402, 35020, 36473, 33214, 28632, 30305, 33700, 39957
       142,      7050, 36158, 33639, 28410, 29235, 36458, 35008, 36457, 33291, 28571, 30311, 33681, 39955
       143,      7100, 36134, 33712, 28361, 29231, 36515, 34995, 36440, 33364, 28515, 30318, 33662, 39951
       144,      7150, 36107, 33793, 28306, 29227, 36572, 34984, 36421, 33443, 28455, 30325, 33643, 39946
       145,      7200, 36080, 33869, 28256, 29222, 36629, 34972, 36400, 33519, 28400, 30332, 33624, 39941
       146,      7250, 36051, 33946, 28207, 29218, 36687, 34962, 36378, 33598, 28343, 30338, 33605, 39934
       147,      7300, 36020, 34029, 28154, 29213, 36744, 34952, 36355, 33678, 28287, 30345, 33586, 39927
       148,      7350, 35988, 34105, 28109, 29209, 36802, 34942, 36330, 33757, 28233, 30353, 33568, 39918
       149,      7400, 35954, 34188, 28059, 29204, 36860, 34933, 36303, 33838, 28178, 30360, 33550, 39909
